Line,Mag,x,y
L10160,56977.7105004498,582921.9,6849904
L10160,56976.9506942586,582920.6,6849938
L10160,56975.9608737623,582920.8,6849972
L10160,56974.9810675712,582921.1,6850006.5
L10160,56973.7712470749,582921.3,6850041
L10160,56972.2514408837,582921.6,6850076
L10160,56970.2816346925,582921.1,6850109.5
L10160,56968.6148468805,582920.6,6850143
L10160,56967.9680733737,582920.8,6850177
L10160,56968.0012998668,582921.1,6850211.5
L10160,56968.18452636,582920.5,6850245.5
L10160,56968.497738548,582920,6850280
L10160,56968.6609650411,582920.2,6850314
L10160,56968.3854646895,582920.5,6850347.5
L10160,56967.7199643378,582920.8,6850382.5
L10160,56967.0044496811,582921,6850417.5
L10160,56966.1889493294,582921.2,6850452
L10160,56964.8734489778,582921.5,6850486
L10160,56962.9979486262,582921.8,6850520
L10160,56960.6619046802,582921.2,6850554
L10160,56958.0558750393,582921.4,6850588.5
L10160,56955.5198453984,582921.7,6850623.5
L10160,56953.2638157575,582921.9,6850657.5
L10160,56951.5377718115,582921.4,6850691
L10160,56950.3017421706,582920.9,6850725.5
L10160,56948.8034666267,582920.4,6850759.5
L10160,56946.6451910828,582920.7,6850794.5
L10160,56944.0469155389,582920.9,6850829.5
L10160,56941.418639995,582921.2,6850864
L10160,56938.4903644511,582921.4,6850898.5
L10160,56935.8820889072,582921.6,6850932.5
L10160,56934.6900511181,582921.9,6850967
L10160,56935.878013329,582922.1,6851001.5
L10160,56939.6959755399,582921.6,6851036.5
L10160,56945.2639377508,582921.9,6851071
L10160,56950.8819142669,582921.4,6851105.5
L10160,56955.0898764778,582921.6,6851140
L10160,56957.0328032883,582921.9,6851174.5
L10160,56956.2657300989,582921.4,6851209
L10160,56953.4186569094,582920.9,6851244
L10160,56950.0215837199,582921.1,6851278.5
L10160,56948.1745105304,582921.3,6851312.5
L10160,56949.417437341,582921.6,6851347
L10160,56953.5343273931,582921.8,6851381.5
L10160,56959.1512174452,582922.1,6851416.5
L10160,56965.3881074973,582922.3,6851452
L10160,56970.8649832443,582922.6,6851486
L10160,56974.8418732964,582922.1,6851520
L10160,56977.2587633485,582922.3,6851554.5
L10160,56977.9289013864,582921.8,6851589.5
L10160,56977.8990537295,582922.1,6851624
L10160,56978.1691917674,582921.6,6851658
L10160,56978.5693298054,582921.1,6851693
L10160,56978.5094678433,582920.6,6851728
L10160,56977.5696201864,582920.8,6851763
L10160,56975.7226628874,582920.2,6851797.5
L10160,56974.3056912833,582920.5,6851832
L10160,56974.4087339843,582920,6851866.5
L10160,56974.5417766854,582919.5,6851901
L10160,56973.0648193864,582919,6851935.5
L10160,56971.2778620874,582919.2,6851969.5
L10160,56969.673737926,582918.8,6852004
L10160,56968.5895994594,582919,6852038.5
L10160,56968.2054752979,582918.5,6852073
L10160,56967.7813368314,582918.8,6852107.5
L10160,56966.4272126699,582919,6852142.5
L10160,56963.8230742033,582919.2,6852177
L10160,56960.2819691459,582919.4,6852211
L10160,56956.4708497833,582919.7,6852246
L10160,56952.8697304208,582920.7,6852281
L10160,56949.6586253633,582920.9,6852315
L10160,56947.8175060007,582921.9,6852348.5
L10160,56947.8763866382,582922.9,6852383
L10160,56949.5187441433,582923.9,6852417.5
L10160,56952.2011159535,582924.1,6852452
L10160,56954.5334734586,582925.1,6852487
L10160,56956.0458309637,582925.4,6852521
L10160,56956.7881884688,582926.4,6852555.5
L10160,56956.7605459739,582926.6,6852590
L10160,56956.7670812973,582926.9,6852624.5
L10160,56956.9536166207,582927.1,6852659
L10160,56957.2601519441,582927.4,6852693
L10160,56957.0966872675,582927.6,6852727.5
L10160,56955.8932225909,582927.8,6852761.5
L10160,56954.5497722195,582928.1,6852796
L10160,56954.0913579732,582928.3,6852830.5
L10160,56954.0629437269,582929.3,6852865
L10160,56954.1845437857,582930.3,6852899
L10160,56954.1961295394,582930.6,6852934
L10160,56953.9677295982,582930.8,6852969
L10160,56952.7793153519,582930.2,6853003
L10160,56950.4269528939,582929.8,6853037.5
L10160,56947.484590436,582930,6853072
L10160,56944.922227978,582929.5,6853106
L10160,56942.4298655201,582929.8,6853141
L10160,56939.827488757,582929.2,6853176
L10160,56937.365126299,582928.8,6853210.5
L10160,56935.3098312925,582927.5,6853245
L10160,56933.704536286,582926.2,6853279
L10160,56932.3692412795,582925,6853313.5
L10160,56931.4639605782,582924.5,6853348
L10160,56931.0486655717,582923.2,6853382
L10160,56931.1033705652,582922.8,6853417
L10160,56931.326244504,582922.2,6853452
L10160,56931.5691327479,582921.8,6853486.5
L10160,56931.9120066868,582920.5,6853521
L10160,56932.0748949307,582920.8,6853555
L10160,56932.1477688695,582920.9,6853589.5
L10160,56932.5406428083,582921.2,6853623.5
L10160,56933.5728301017,582921.4,6853658
L10160,56935.0250030899,582921.7,6853692.5
L10160,56936.7171760781,582921.2,6853726.5
L10160,56938.2093490663,582921.4,6853761
L10160,56939.1415363596,582920.9,6853795.5
L10160,56939.4137093478,582921.2,6853830
L10160,56938.8262256587,582921.4,6853864
L10160,56937.2587419697,582920.9,6853898.5
L10160,56935.2312582806,582920.4,6853933
L10160,56933.5337745916,582920.6,6853967
L10160,56932.6562909026,582920.9,6854001.5
L10160,56932.4888072135,582921.1,6854036
L10160,56932.1725966797,582920.6,6854070.5
L10160,56931.2263861458,582920.9,6854104.5
L10160,56930.0001613069,582921.1,6854139
L10160,56929.0939507731,582921.4,6854173.5
L10160,56928.8477402392,582921.6,6854207.5
L10160,56929.0715154003,582921.8,6854242
L10160,56929.5873218876,582921.3,6854276.5
L10160,56930.3431140699,582920.8,6854310.5
L10160,56931.1989062521,582920.3,6854345
L10160,56932.8747127394,582920.6,6854380
L10160,56936.5905049217,582920.8,6854414.5
L10160,56941.6562971039,582921.1,6854448.5
L10160,56945.3446785119,582920.6,6854482.5
L10160,56948.0330599199,582920.8,6854517
L10160,56950.971455633,582921.8,6854552
L10160,56954.719837041,582922,6854586
L10160,56959.228218449,582921.5,6854620
L10160,56964.756599857,582921.8,6854653.5
L10160,56971.887971034,582921.2,6854687.5
L10160,56982.209342211,582921.5,6854722
L10160,56996.8906990828,582921.8,6854756
L10160,57013.9120702598,582921.9,6854790.5
L10160,57029.7534414368,582922.2,6854824.5
L10160,57042.9848126138,582921.7,6854858.5
L10160,57049.2693881365,582921.2,6854892.5
L10160,57036.6639636592,582921.4,6854926.5
L10160,56990.6985391819,582921.7,6854960
L10160,56903.1631290096,582921.9,6854994.5
L10160,56765.6977045323,582921.4,6855029
L10160,56593.482280055,582921.6,6855063
L10160,56438.9701171439,582921.1,6855097.5
L10160,56351.0579542327,582921.4,6855132
L10160,56340.0758056267,582921.6,6855167
L10160,56372.8536427155,582921.9,6855201
L10160,56407.5314798044,582922.1,6855235
L10160,56430.5693168932,582922.3,6855268.5
L10160,56441.6703440227,582922.6,6855302.5
L10160,56456.6313711521,582922.8,6855336.5
